account_id,district_id,frequency
5065,66,MONTHLY ISSUANCE
3704,75,MONTHLY ISSUANCE
477,1,MONTHLY ISSUANCE
5891,54,MONTHLY ISSUANCE
1000,77,MONTHLY ISSUANCE
1750,1,MONTHLY ISSUANCE
2023,68,MONTHLY ISSUANCE
6473,12,MONTHLY ISSUANCE
1649,46,MONTHLY ISSUANCE
2670,13,MONTHLY ISSUANCE
1127,27,MONTHLY ISSUANCE
163,30,MONTHLY ISSUANCE
2566,48,MONTHLY ISSUANCE
9,70,MONTHLY ISSUANCE
1144,59,MONTHLY ISSUANCE
2902,32,MONTHLY ISSUANCE
4296,63,MONTHLY ISSUANCE
443,64,MONTHLY ISSUANCE
3693,61,MONTHLY ISSUANCE
2070,72,MONTHLY ISSUANCE
1843,12,MONTHLY ISSUANCE
2714,1,MONTHLY ISSUANCE
4078,40,MONTHLY ISSUANCE
1675,36,MONTHLY ISSUANCE
5868,44,MONTHLY ISSUANCE
1805,1,MONTHLY ISSUANCE
2434,17,MONTHLY ISSUANCE
3007,16,MONTHLY ISSUANCE
2574,68,MONTHLY ISSUANCE
862,64,WEEKLY ISSUANCE
1132,1,WEEKLY ISSUANCE
4484,54,MONTHLY ISSUANCE
943,1,MONTHLY ISSUANCE
3514,7,MONTHLY ISSUANCE
3983,67,MONTHLY ISSUANCE
9265,1,MONTHLY ISSUANCE
465,32,MONTHLY ISSUANCE
982,54,MONTHLY ISSUANCE
411,70,MONTHLY ISSUANCE
890,14,MONTHLY ISSUANCE
627,63,MONTHLY ISSUANCE
2429,61,MONTHLY ISSUANCE
3960,64,MONTHLY ISSUANCE
2256,48,MONTHLY ISSUANCE
8051,1,WEEKLY ISSUANCE
2647,73,MONTHLY ISSUANCE
2241,6,MONTHLY ISSUANCE
5622,70,MONTHLY ISSUANCE
2884,1,MONTHLY ISSUANCE
1830,10,MONTHLY ISSUANCE
7753,74,MONTHLY ISSUANCE
244,24,MONTHLY ISSUANCE
1477,1,MONTHLY ISSUANCE
4240,50,MONTHLY ISSUANCE
1006,6,MONTHLY ISSUANCE
830,74,MONTHLY ISSUANCE
9188,45,MONTHLY ISSUANCE
1965,57,ISSUANCE AFTER TRANSACTION
1134,6,MONTHLY ISSUANCE
1601,10,MONTHLY ISSUANCE
2861,38,MONTHLY ISSUANCE
813,16,MONTHLY ISSUANCE
2585,75,MONTHLY ISSUANCE
2220,16,MONTHLY ISSUANCE
2763,64,MONTHLY ISSUANCE
2342,51,MONTHLY ISSUANCE
1944,72,MONTHLY ISSUANCE
1966,27,MONTHLY ISSUANCE
1801,46,MONTHLY ISSUANCE
2543,68,MONTHLY ISSUANCE
2293,31,MONTHLY ISSUANCE
11013,1,WEEKLY ISSUANCE
2423,30,MONTHLY ISSUANCE
142,51,MONTHLY ISSUANCE
3424,74,MONTHLY ISSUANCE
539,13,ISSUANCE AFTER TRANSACTION
979,21,MONTHLY ISSUANCE
3554,66,MONTHLY ISSUANCE
3545,51,MONTHLY ISSUANCE
3047,16,MONTHLY ISSUANCE
3374,21,MONTHLY ISSUANCE
96,68,MONTHLY ISSUANCE
461,30,MONTHLY ISSUANCE
3593,1,MONTHLY ISSUANCE
3026,24,MONTHLY ISSUANCE
1054,10,MONTHLY ISSUANCE
2433,71,MONTHLY ISSUANCE
3691,50,MONTHLY ISSUANCE
3787,70,MONTHLY ISSUANCE
128,2,MONTHLY ISSUANCE
3168,39,MONTHLY ISSUANCE
4937,12,MONTHLY ISSUANCE
2124,69,MONTHLY ISSUANCE
322,1,MONTHLY ISSUANCE
4355,31,MONTHLY ISSUANCE
1678,1,MONTHLY ISSUANCE
2396,2,MONTHLY ISSUANCE
1005,54,WEEKLY ISSUANCE
697,28,MONTHLY ISSUANCE
925,59,MONTHLY ISSUANCE
2110,64,MONTHLY ISSUANCE
1366,60,MONTHLY ISSUANCE
1050,57,ISSUANCE AFTER TRANSACTION
3117,33,MONTHLY ISSUANCE
562,50,MONTHLY ISSUANCE
5369,54,MONTHLY ISSUANCE
2242,7,WEEKLY ISSUANCE
197,1,MONTHLY ISSUANCE
496,69,MONTHLY ISSUANCE
2,1,MONTHLY ISSUANCE
7401,1,MONTHLY ISSUANCE
2486,1,MONTHLY ISSUANCE
428,1,MONTHLY ISSUANCE
3651,23,MONTHLY ISSUANCE
1775,17,MONTHLY ISSUANCE
1688,70,MONTHLY ISSUANCE
361,51,MONTHLY ISSUANCE
1829,43,MONTHLY ISSUANCE
1575,1,MONTHLY ISSUANCE
9203,70,MONTHLY ISSUANCE
3008,72,MONTHLY ISSUANCE
239,69,WEEKLY ISSUANCE
3302,21,MONTHLY ISSUANCE
415,25,MONTHLY ISSUANCE
3513,20,MONTHLY ISSUANCE
4134,7,MONTHLY ISSUANCE
1077,14,MONTHLY ISSUANCE
1713,43,MONTHLY ISSUANCE
1378,59,MONTHLY ISSUANCE
2503,1,MONTHLY ISSUANCE
559,46,MONTHLY ISSUANCE
6555,38,WEEKLY ISSUANCE
744,42,MONTHLY ISSUANCE
882,9,MONTHLY ISSUANCE
86,54,MONTHLY ISSUANCE
1126,56,MONTHLY ISSUANCE
2666,49,MONTHLY ISSUANCE
944,70,MONTHLY ISSUANCE
1545,1,MONTHLY ISSUANCE
2453,1,MONTHLY ISSUANCE
3734,43,MONTHLY ISSUANCE
3935,23,MONTHLY ISSUANCE
396,21,MONTHLY ISSUANCE
2694,7,MONTHLY ISSUANCE
4596,74,MONTHLY ISSUANCE
2489,72,MONTHLY ISSUANCE
2895,19,MONTHLY ISSUANCE
317,76,MONTHLY ISSUANCE
2555,53,MONTHLY ISSUANCE
494,60,MONTHLY ISSUANCE
2219,60,MONTHLY ISSUANCE
2581,72,MONTHLY ISSUANCE
112,6,MONTHLY ISSUANCE
3674,38,MONTHLY ISSUANCE
2039,44,MONTHLY ISSUANCE
2712,9,MONTHLY ISSUANCE
395,1,MONTHLY ISSUANCE
2974,9,MONTHLY ISSUANCE
123,21,MONTHLY ISSUANCE
9640,1,MONTHLY ISSUANCE
3108,53,MONTHLY ISSUANCE
2508,34,MONTHLY ISSUANCE
2458,40,WEEKLY ISSUANCE
588,66,MONTHLY ISSUANCE
7231,10,MONTHLY ISSUANCE
6701,49,WEEKLY ISSUANCE
3883,72,MONTHLY ISSUANCE
222,37,MONTHLY ISSUANCE
2497,65,MONTHLY ISSUANCE
1372,1,MONTHLY ISSUANCE
3835,50,MONTHLY ISSUANCE
7445,64,MONTHLY ISSUANCE
2527,38,MONTHLY ISSUANCE
425,9,MONTHLY ISSUANCE
860,1,MONTHLY ISSUANCE
6034,6,WEEKLY ISSUANCE
11065,11,MONTHLY ISSUANCE
9883,1,MONTHLY ISSUANCE
115,68,MONTHLY ISSUANCE
1189,59,MONTHLY ISSUANCE
3675,64,MONTHLY ISSUANCE
3069,66,MONTHLY ISSUANCE
2762,19,MONTHLY ISSUANCE
892,70,MONTHLY ISSUANCE
1535,46,MONTHLY ISSUANCE
2618,60,MONTHLY ISSUANCE
2651,2,MONTHLY ISSUANCE
5442,34,MONTHLY ISSUANCE
1787,30,WEEKLY ISSUANCE
1397,17,MONTHLY ISSUANCE
3785,10,MONTHLY ISSUANCE
623,1,MONTHLY ISSUANCE
8260,31,MONTHLY ISSUANCE
3678,1,MONTHLY ISSUANCE
3001,1,MONTHLY ISSUANCE
655,53,MONTHLY ISSUANCE
4093,1,MONTHLY ISSUANCE
3260,68,MONTHLY ISSUANCE
2528,65,MONTHLY ISSUANCE
2011,75,MONTHLY ISSUANCE
1721,68,MONTHLY ISSUANCE
1332,59,MONTHLY ISSUANCE
1402,74,MONTHLY ISSUANCE
3283,68,MONTHLY ISSUANCE
3781,31,MONTHLY ISSUANCE
7203,71,MONTHLY ISSUANCE
1065,72,MONTHLY ISSUANCE
3076,54,MONTHLY ISSUANCE
4347,1,MONTHLY ISSUANCE
1157,7,MONTHLY ISSUANCE
9403,1,WEEKLY ISSUANCE
1874,9,MONTHLY ISSUANCE
1115,34,MONTHLY ISSUANCE
3586,59,MONTHLY ISSUANCE
62,47,MONTHLY ISSUANCE
1771,69,MONTHLY ISSUANCE
5483,13,MONTHLY ISSUANCE
8330,48,MONTHLY ISSUANCE
187,5,MONTHLY ISSUANCE
423,12,MONTHLY ISSUANCE
6425,31,MONTHLY ISSUANCE
2493,62,MONTHLY ISSUANCE
2896,29,MONTHLY ISSUANCE
2245,29,MONTHLY ISSUANCE
3923,52,MONTHLY ISSUANCE
1898,70,MONTHLY ISSUANCE
3367,1,MONTHLY ISSUANCE
3391,74,MONTHLY ISSUANCE
8519,23,MONTHLY ISSUANCE
1780,1,MONTHLY ISSUANCE
3915,65,MONTHLY ISSUANCE
3980,75,MONTHLY ISSUANCE
4350,63,MONTHLY ISSUANCE
686,41,MONTHLY ISSUANCE
362,15,MONTHLY ISSUANCE
299,77,MONTHLY ISSUANCE
2488,5,MONTHLY ISSUANCE
2985,71,MONTHLY ISSUANCE
385,5,MONTHLY ISSUANCE
2817,56,MONTHLY ISSUANCE
2056,58,MONTHLY ISSUANCE
2002,1,MONTHLY ISSUANCE
748,10,MONTHLY ISSUANCE
220,72,MONTHLY ISSUANCE
1422,68,MONTHLY ISSUANCE
1147,44,MONTHLY ISSUANCE
3788,70,MONTHLY ISSUANCE
1891,32,MONTHLY ISSUANCE
1239,1,MONTHLY ISSUANCE
8321,77,MONTHLY ISSUANCE
3213,51,MONTHLY ISSUANCE
2838,3,WEEKLY ISSUANCE
3644,38,MONTHLY ISSUANCE
4318,33,WEEKLY ISSUANCE
2648,51,MONTHLY ISSUANCE
2313,26,WEEKLY ISSUANCE
5428,24,MONTHLY ISSUANCE
7123,64,ISSUANCE AFTER TRANSACTION
279,39,MONTHLY ISSUANCE
104,37,MONTHLY ISSUANCE
497,55,MONTHLY ISSUANCE
1152,45,MONTHLY ISSUANCE
83,26,MONTHLY ISSUANCE
2008,52,MONTHLY ISSUANCE
3327,45,MONTHLY ISSUANCE
5740,43,MONTHLY ISSUANCE
8132,5,WEEKLY ISSUANCE
10738,45,WEEKLY ISSUANCE
2216,74,MONTHLY ISSUANCE
1815,66,MONTHLY ISSUANCE
2823,57,MONTHLY ISSUANCE
4321,47,MONTHLY ISSUANCE
1773,33,MONTHLY ISSUANCE
7454,4,MONTHLY ISSUANCE
188,54,MONTHLY ISSUANCE
10973,18,WEEKLY ISSUANCE
2599,48,MONTHLY ISSUANCE
1166,11,MONTHLY ISSUANCE
504,73,MONTHLY ISSUANCE
1518,67,MONTHLY ISSUANCE
2189,75,MONTHLY ISSUANCE
6040,1,MONTHLY ISSUANCE
2876,52,MONTHLY ISSUANCE
1505,69,MONTHLY ISSUANCE
6897,48,MONTHLY ISSUANCE
4377,28,MONTHLY ISSUANCE
717,75,MONTHLY ISSUANCE
9707,70,MONTHLY ISSUANCE
2814,72,MONTHLY ISSUANCE
3068,59,MONTHLY ISSUANCE
1476,61,MONTHLY ISSUANCE
897,38,MONTHLY ISSUANCE
977,1,MONTHLY ISSUANCE
2639,17,MONTHLY ISSUANCE
1032,11,MONTHLY ISSUANCE
928,20,MONTHLY ISSUANCE
168,31,MONTHLY ISSUANCE
2175,1,MONTHLY ISSUANCE
10105,55,MONTHLY ISSUANCE
1392,60,MONTHLY ISSUANCE
3697,45,MONTHLY ISSUANCE
5313,40,MONTHLY ISSUANCE
2222,47,MONTHLY ISSUANCE
2641,7,MONTHLY ISSUANCE
5423,15,MONTHLY ISSUANCE
2609,73,MONTHLY ISSUANCE
5472,1,MONTHLY ISSUANCE
2932,72,MONTHLY ISSUANCE
4254,70,MONTHLY ISSUANCE
3965,31,MONTHLY ISSUANCE
10656,8,MONTHLY ISSUANCE
887,1,MONTHLY ISSUANCE
4743,64,MONTHLY ISSUANCE
1048,35,MONTHLY ISSUANCE
1671,6,MONTHLY ISSUANCE
1236,19,MONTHLY ISSUANCE
1822,30,MONTHLY ISSUANCE
3316,28,MONTHLY ISSUANCE
2037,20,MONTHLY ISSUANCE
10079,62,MONTHLY ISSUANCE
3999,35,MONTHLY ISSUANCE
551,77,MONTHLY ISSUANCE
1200,33,MONTHLY ISSUANCE
1161,66,MONTHLY ISSUANCE
5372,48,MONTHLY ISSUANCE
3050,60,MONTHLY ISSUANCE
1784,59,MONTHLY ISSUANCE
1603,1,MONTHLY ISSUANCE
1887,68,MONTHLY ISSUANCE
1644,1,MONTHLY ISSUANCE
1658,73,MONTHLY ISSUANCE
44,32,MONTHLY ISSUANCE
1039,70,WEEKLY ISSUANCE
1071,68,WEEKLY ISSUANCE
2410,54,MONTHLY ISSUANCE
2523,10,MONTHLY ISSUANCE
790,54,MONTHLY ISSUANCE
2583,62,MONTHLY ISSUANCE
1782,8,MONTHLY ISSUANCE
751,3,MONTHLY ISSUANCE
2061,24,MONTHLY ISSUANCE
8261,13,MONTHLY ISSUANCE
2321,35,MONTHLY ISSUANCE
1334,74,MONTHLY ISSUANCE
3649,54,MONTHLY ISSUANCE
555,24,MONTHLY ISSUANCE
3173,39,MONTHLY ISSUANCE
863,71,MONTHLY ISSUANCE
3181,42,MONTHLY ISSUANCE
3210,1,MONTHLY ISSUANCE
489,16,MONTHLY ISSUANCE
947,59,MONTHLY ISSUANCE
3284,64,MONTHLY ISSUANCE
1610,52,MONTHLY ISSUANCE
4225,55,MONTHLY ISSUANCE
1412,64,MONTHLY ISSUANCE
1937,36,MONTHLY ISSUANCE
991,39,MONTHLY ISSUANCE
1180,20,MONTHLY ISSUANCE
2758,70,MONTHLY ISSUANCE
2711,58,MONTHLY ISSUANCE
1652,74,MONTHLY ISSUANCE
3099,70,MONTHLY ISSUANCE
11111,1,MONTHLY ISSUANCE
9591,74,MONTHLY ISSUANCE
9828,11,MONTHLY ISSUANCE
5385,44,WEEKLY ISSUANCE
23,30,MONTHLY ISSUANCE
2645,54,MONTHLY ISSUANCE
2991,19,MONTHLY ISSUANCE
3469,76,MONTHLY ISSUANCE
1851,55,MONTHLY ISSUANCE
3844,67,MONTHLY ISSUANCE
1442,23,MONTHLY ISSUANCE
3064,40,MONTHLY ISSUANCE
3558,4,MONTHLY ISSUANCE
1534,1,MONTHLY ISSUANCE
334,1,MONTHLY ISSUANCE
1786,1,MONTHLY ISSUANCE
1272,40,WEEKLY ISSUANCE
2436,67,MONTHLY ISSUANCE
3796,53,MONTHLY ISSUANCE
119,27,MONTHLY ISSUANCE
3063,72,MONTHLY ISSUANCE
18,43,WEEKLY ISSUANCE
11320,44,MONTHLY ISSUANCE
3888,39,MONTHLY ISSUANCE
1584,30,MONTHLY ISSUANCE
5546,43,MONTHLY ISSUANCE
2029,55,MONTHLY ISSUANCE
10911,1,WEEKLY ISSUANCE
2467,33,MONTHLY ISSUANCE
2962,1,MONTHLY ISSUANCE
165,25,MONTHLY ISSUANCE
1617,45,MONTHLY ISSUANCE
327,54,MONTHLY ISSUANCE
2068,21,MONTHLY ISSUANCE
4448,60,MONTHLY ISSUANCE
640,32,MONTHLY ISSUANCE
510,1,WEEKLY ISSUANCE
2534,61,MONTHLY ISSUANCE
1018,7,MONTHLY ISSUANCE
1285,65,MONTHLY ISSUANCE
3670,27,MONTHLY ISSUANCE
1743,51,MONTHLY ISSUANCE
3072,8,MONTHLY ISSUANCE
2146,31,MONTHLY ISSUANCE
4576,27,MONTHLY ISSUANCE
3258,53,MONTHLY ISSUANCE
2176,67,MONTHLY ISSUANCE
8934,51,MONTHLY ISSUANCE
1999,70,MONTHLY ISSUANCE
2741,15,MONTHLY ISSUANCE
4427,32,MONTHLY ISSUANCE
3682,70,MONTHLY ISSUANCE
2862,33,MONTHLY ISSUANCE
3032,5,MONTHLY ISSUANCE
701,69,MONTHLY ISSUANCE
6281,56,MONTHLY ISSUANCE
306,16,MONTHLY ISSUANCE
1207,67,MONTHLY ISSUANCE
1247,25,MONTHLY ISSUANCE
5343,64,MONTHLY ISSUANCE
5129,68,MONTHLY ISSUANCE
3713,14,WEEKLY ISSUANCE
2327,19,MONTHLY ISSUANCE
774,1,MONTHLY ISSUANCE
1990,1,MONTHLY ISSUANCE
2388,30,MONTHLY ISSUANCE
3566,21,MONTHLY ISSUANCE
10266,54,MONTHLY ISSUANCE
3771,22,MONTHLY ISSUANCE
1978,57,WEEKLY ISSUANCE
2022,72,MONTHLY ISSUANCE
3542,49,MONTHLY ISSUANCE
1515,11,MONTHLY ISSUANCE
4171,28,MONTHLY ISSUANCE
433,20,MONTHLY ISSUANCE
1373,47,MONTHLY ISSUANCE
3246,54,MONTHLY ISSUANCE
1475,1,WEEKLY ISSUANCE
3133,66,MONTHLY ISSUANCE
2779,73,MONTHLY ISSUANCE
135,75,MONTHLY ISSUANCE
446,50,MONTHLY ISSUANCE
9093,47,MONTHLY ISSUANCE
432,46,MONTHLY ISSUANCE
2880,71,MONTHLY ISSUANCE
5767,72,MONTHLY ISSUANCE
1998,1,MONTHLY ISSUANCE
2554,36,MONTHLY ISSUANCE
2933,10,MONTHLY ISSUANCE
773,15,MONTHLY ISSUANCE
4894,14,MONTHLY ISSUANCE
3969,39,MONTHLY ISSUANCE
1277,31,MONTHLY ISSUANCE
5120,1,MONTHLY ISSUANCE
738,34,MONTHLY ISSUANCE
1299,1,MONTHLY ISSUANCE
148,8,MONTHLY ISSUANCE
899,72,MONTHLY ISSUANCE
3521,75,MONTHLY ISSUANCE
3786,21,MONTHLY ISSUANCE
886,1,MONTHLY ISSUANCE
5228,77,ISSUANCE AFTER TRANSACTION
702,12,MONTHLY ISSUANCE
300,1,MONTHLY ISSUANCE
1451,64,MONTHLY ISSUANCE
2940,54,MONTHLY ISSUANCE
1837,23,MONTHLY ISSUANCE
3954,22,MONTHLY ISSUANCE
885,1,MONTHLY ISSUANCE
2697,8,MONTHLY ISSUANCE
8129,45,MONTHLY ISSUANCE
1930,3,MONTHLY ISSUANCE
2411,69,MONTHLY ISSUANCE
3775,19,MONTHLY ISSUANCE
9034,1,MONTHLY ISSUANCE
902,74,MONTHLY ISSUANCE
630,71,MONTHLY ISSUANCE
3096,68,MONTHLY ISSUANCE
2552,52,MONTHLY ISSUANCE
3435,59,MONTHLY ISSUANCE
5215,55,MONTHLY ISSUANCE
36,1,MONTHLY ISSUANCE
2687,76,MONTHLY ISSUANCE
1861,54,MONTHLY ISSUANCE
2464,33,ISSUANCE AFTER TRANSACTION
2736,72,MONTHLY ISSUANCE
1145,31,MONTHLY ISSUANCE
2298,31,MONTHLY ISSUANCE
929,54,MONTHLY ISSUANCE
381,68,MONTHLY ISSUANCE
3778,52,MONTHLY ISSUANCE
1118,48,MONTHLY ISSUANCE
4352,2,MONTHLY ISSUANCE
1322,17,MONTHLY ISSUANCE
1852,35,MONTHLY ISSUANCE
8173,11,MONTHLY ISSUANCE
2705,63,ISSUANCE AFTER TRANSACTION
9472,1,WEEKLY ISSUANCE
368,77,MONTHLY ISSUANCE
1425,76,MONTHLY ISSUANCE
8027,44,WEEKLY ISSUANCE
3261,1,MONTHLY ISSUANCE
35,75,MONTHLY ISSUANCE
2186,63,MONTHLY ISSUANCE
1566,73,MONTHLY ISSUANCE
78,74,MONTHLY ISSUANCE
3939,70,MONTHLY ISSUANCE
2584,50,MONTHLY ISSUANCE
2336,39,MONTHLY ISSUANCE
2078,62,MONTHLY ISSUANCE
3882,10,MONTHLY ISSUANCE
4159,74,MONTHLY ISSUANCE
907,41,MONTHLY ISSUANCE
1411,54,MONTHLY ISSUANCE
1684,32,WEEKLY ISSUANCE
3748,1,MONTHLY ISSUANCE
2213,68,MONTHLY ISSUANCE
1062,6,MONTHLY ISSUANCE
273,24,ISSUANCE AFTER TRANSACTION
10320,68,MONTHLY ISSUANCE
1416,66,WEEKLY ISSUANCE
3277,36,MONTHLY ISSUANCE
1892,28,MONTHLY ISSUANCE
3413,70,MONTHLY ISSUANCE
3654,47,MONTHLY ISSUANCE
3000,28,MONTHLY ISSUANCE
3955,64,MONTHLY ISSUANCE
1544,69,MONTHLY ISSUANCE
9703,68,MONTHLY ISSUANCE
234,73,MONTHLY ISSUANCE
3241,44,MONTHLY ISSUANCE
3465,1,MONTHLY ISSUANCE
3152,1,MONTHLY ISSUANCE
1497,1,MONTHLY ISSUANCE
3078,1,MONTHLY ISSUANCE
400,28,MONTHLY ISSUANCE
1902,50,WEEKLY ISSUANCE
757,50,MONTHLY ISSUANCE
1116,1,MONTHLY ISSUANCE
5700,42,MONTHLY ISSUANCE
3267,64,MONTHLY ISSUANCE
3222,4,MONTHLY ISSUANCE
408,41,MONTHLY ISSUANCE
2818,40,MONTHLY ISSUANCE
6273,38,MONTHLY ISSUANCE
2513,70,MONTHLY ISSUANCE
3493,63,MONTHLY ISSUANCE
1201,61,MONTHLY ISSUANCE
4478,70,MONTHLY ISSUANCE
2915,57,MONTHLY ISSUANCE
9833,20,MONTHLY ISSUANCE
2253,74,MONTHLY ISSUANCE
1069,70,MONTHLY ISSUANCE
207,2,MONTHLY ISSUANCE
3212,70,MONTHLY ISSUANCE
4035,1,MONTHLY ISSUANCE
1268,74,MONTHLY ISSUANCE
3287,18,MONTHLY ISSUANCE
6226,74,WEEKLY ISSUANCE
2123,64,MONTHLY ISSUANCE
3982,26,MONTHLY ISSUANCE
2701,71,MONTHLY ISSUANCE
3629,48,MONTHLY ISSUANCE
2841,71,MONTHLY ISSUANCE
563,53,MONTHLY ISSUANCE
2732,5,MONTHLY ISSUANCE
1297,70,MONTHLY ISSUANCE
7485,39,MONTHLY ISSUANCE
2088,4,MONTHLY ISSUANCE
225,1,MONTHLY ISSUANCE
1630,72,MONTHLY ISSUANCE
403,1,MONTHLY ISSUANCE
445,63,WEEKLY ISSUANCE
186,1,WEEKLY ISSUANCE
3720,36,MONTHLY ISSUANCE
574,70,MONTHLY ISSUANCE
1429,57,MONTHLY ISSUANCE
3580,43,MONTHLY ISSUANCE
7819,38,MONTHLY ISSUANCE
759,23,MONTHLY ISSUANCE
6363,74,MONTHLY ISSUANCE
3738,51,MONTHLY ISSUANCE
4000,7,MONTHLY ISSUANCE
9041,1,MONTHLY ISSUANCE
2620,22,MONTHLY ISSUANCE
3609,28,MONTHLY ISSUANCE
1382,48,MONTHLY ISSUANCE
930,41,MONTHLY ISSUANCE
1925,12,MONTHLY ISSUANCE
1834,62,MONTHLY ISSUANCE
1507,35,MONTHLY ISSUANCE
7857,75,MONTHLY ISSUANCE
6636,72,WEEKLY ISSUANCE
601,29,MONTHLY ISSUANCE
3298,29,MONTHLY ISSUANCE
2938,1,MONTHLY ISSUANCE
2199,1,MONTHLY ISSUANCE
3745,5,MONTHLY ISSUANCE
3699,50,MONTHLY ISSUANCE
816,52,MONTHLY ISSUANCE
3656,53,MONTHLY ISSUANCE
2038,42,MONTHLY ISSUANCE
2542,21,MONTHLY ISSUANCE
1136,12,MONTHLY ISSUANCE
1589,37,MONTHLY ISSUANCE
3136,69,MONTHLY ISSUANCE
3547,54,MONTHLY ISSUANCE
26,52,MONTHLY ISSUANCE
657,47,MONTHLY ISSUANCE
3538,58,MONTHLY ISSUANCE
2167,16,MONTHLY ISSUANCE
3127,66,MONTHLY ISSUANCE
47,45,MONTHLY ISSUANCE
3850,8,MONTHLY ISSUANCE
5366,70,MONTHLY ISSUANCE
747,39,MONTHLY ISSUANCE
3166,71,MONTHLY ISSUANCE
11021,1,MONTHLY ISSUANCE
1701,1,MONTHLY ISSUANCE
3613,43,MONTHLY ISSUANCE
3600,27,MONTHLY ISSUANCE
3792,10,MONTHLY ISSUANCE
523,1,MONTHLY ISSUANCE
3808,38,MONTHLY ISSUANCE
1401,1,MONTHLY ISSUANCE
541,61,MONTHLY ISSUANCE
1023,21,MONTHLY ISSUANCE
3683,33,MONTHLY ISSUANCE
3220,29,MONTHLY ISSUANCE
1779,33,MONTHLY ISSUANCE
1912,64,MONTHLY ISSUANCE
238,6,MONTHLY ISSUANCE
3113,67,MONTHLY ISSUANCE
5481,52,MONTHLY ISSUANCE
3035,15,WEEKLY ISSUANCE
942,9,MONTHLY ISSUANCE
3221,5,MONTHLY ISSUANCE
2616,1,MONTHLY ISSUANCE
2137,4,ISSUANCE AFTER TRANSACTION
978,73,MONTHLY ISSUANCE
2771,37,MONTHLY ISSUANCE
3891,1,MONTHLY ISSUANCE
9236,11,MONTHLY ISSUANCE
274,76,MONTHLY ISSUANCE
552,14,MONTHLY ISSUANCE
2417,44,MONTHLY ISSUANCE
3868,43,MONTHLY ISSUANCE
9869,12,MONTHLY ISSUANCE
1875,44,MONTHLY ISSUANCE
8212,52,ISSUANCE AFTER TRANSACTION
3477,71,MONTHLY ISSUANCE
1513,30,MONTHLY ISSUANCE
3053,11,MONTHLY ISSUANCE
1057,13,MONTHLY ISSUANCE
6030,47,MONTHLY ISSUANCE
3407,28,MONTHLY ISSUANCE
1761,24,MONTHLY ISSUANCE
3306,75,MONTHLY ISSUANCE
162,60,MONTHLY ISSUANCE
5011,31,MONTHLY ISSUANCE
965,20,MONTHLY ISSUANCE
1305,57,MONTHLY ISSUANCE
815,56,MONTHLY ISSUANCE
1449,35,MONTHLY ISSUANCE
